trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.45, 'e': 0.02237077185616559}",20,4,20.97288349233976,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.45, 'e': 0.02192780089426161}",20,8,21.31615369774731,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.45, 'e': 0.021493601345089923}",20,9,21.834352182489912,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.45, 'e': 0.021067999523041434}",20,6,20.37126740701825,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.45, 'e': 0.020650825181712566}",35,10,45.63421592884173,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.45, 'e': 0.02024191144580439}",30,13,29.63670151118633,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.45, 'e': 0.019841094744370288}",20,10,15.473407887581063,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.45, 'e': 0.01944821474538539}",25,15,20.904801881338646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.45, 'e': 0.019063114291611637}",30,2,27.693483526174795,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
199,False,"{'a': 0.45, 'e': 0.018685639337732773}",20,14,10.93753439605371,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.45, 'e': 0.01831563888873418}",20,10,16.96343546664565,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.45, 'e': 0.01795296493950285}",20,6,21.588425247616268,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.45, 'e': 0.017597472415623393}",20,13,12.83838280898797,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.45, 'e': 0.017249019115346265}",35,21,22.963637036751724,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.45, 'e': 0.01690746565270528}",30,1,23.763107294982476,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
205,False,"{'a': 0.45, 'e': 0.016572675401761255}",25,11,22.85126203374873,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.45, 'e': 0.01624451444194987}",20,9,23.804331171916886,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.45, 'e': 0.015922851504511698}",30,0,38.26577016860025,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
208,False,"{'a': 0.45, 'e': 0.01560755791998283}",20,0,37.10973085704264,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
209,False,"{'a': 0.45, 'e': 0.015298507566725518}",25,14,25.924379530194216,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.45, 'e': 0.014995576820477703}",20,8,22.755222448954356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.45, 'e': 0.014698644504901784}",35,28,13.712312491925378,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.45, 'e': 0.01440759184311235}",30,21,18.004484051934867,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.45, 'e': 0.014122302410163962}",25,6,30.878894519680475,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.45, 'e': 0.013842662086479501}",30,16,27.394592960213487,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.45, 'e': 0.013568559012200934}",25,20,9.73595414430821,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.45, 'e': 0.013299883542443767}",30,16,29.232402490860775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.45, 'e': 0.013036528203437736}",25,18,-29.309908470595815,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
218,False,"{'a': 0.45, 'e': 0.01277838764953576}",20,14,13.065127999138102,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.45, 'e': 0.012525358621074385}",20,4,25.926653532599765,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.45, 'e': 0.012277339903068436}",20,13,14.364013365363846,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.45, 'e': 0.012034232284723775}",25,18,13.714883285611544,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.45, 'e': 0.011795938519751562}",20,11,17.04950670578155,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.45, 'e': 0.011562363287468536}",25,19,11.649095057142892,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.45, 'e': 0.011333413154667387}",20,9,21.807495689135894,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.45, 'e': 0.011108996538242306}",20,16,7.898728809889213,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.45, 'e': 0.01088902366855444}",20,5,30.107497119970745,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.45, 'e': 0.010673406553522925}",20,8,22.309348561638263,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.45, 'e': 0.010462058943426795}",30,13,31.198605768649823,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.45, 'e': 0.010254896296404022}",20,6,26.469261162109095,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.45, 'e': 0.010051835744633576}",30,13,32.464528608290834,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.45, 'e': 0.009852796061187257}",20,16,9.471252353154574,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,23.606559193710403,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,12.576023464300876,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,8.307408126914265,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,3,29.88903159809047,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
